graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
FA BRCA pathway,False,28,3,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.075,0,0.0,0.2280290126800537,1.393692970275879,1.0013580322265625e-05,2.891551971435547
Arabidopsis thaliana Cell Cycle,False,14,3,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,1.0,0.3,0,0.0,0.13207602500915527,2.5819249153137207,7.867813110351562e-06,1.1879959106445312
B cell differentiation,False,22,3,5,0.22727272727272727,7,1.7727272727272727,61,1.0491803278688525,1.0,0.2162443599716872,2,0.011349122096579017,0.01602300739523418,0.04642563681183237,0.9999999999999999,0.19086688578471636,0.4749383730484169,0.075,0.0757451057434082,18.651083946228027,133.89198088645935,1.50626802444458
Body Segmentation in Drosophila 2013,False,17,3,3,0.17647058823529413,4,1.7058823529411764,10,1.0,1.0,0.0,1,0.04637703183293054,0.12209821428571428,0.13526785714285713,1.0,0.4684732142857142,0.24374999999999858,0.045,0.01247096061706543,2.3647050857543945,2.1114308834075928,1.155824899673462
Bordetella bronchiseptica,False,33,3,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.38919509141876907,0.02903907074973601,0.9239704329461457,0.9999999999999999,0.2848310454065468,0.9619852164730727,0.12,0.04283499717712402,2.5784599781036377,3.439056873321533,2.7102279663085938
BT474 Breast Cell Line Short-term ErbB Network,False,16,3,5,0.3125,6,2.875,79,1.0,1.0,0.0,1,0.012792531075433268,0.003129890453834116,0.048513302034428794,1.0,0.11909624413145545,0.6111111111115974,0.25,0.09049510955810547,23.255921125411987,131.5244369506836,0.8824601173400879
Budding Yeast Cell Cycle 2009,False,18,3,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,1.0,0.57,0,0.0,0.04969191551208496,2.681213140487671,8.106231689453125e-06,1.6316280364990234
Cardiac development,False,15,3,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11439716242875077,0.24049217002237136,0.26025354213273677,1.0,0.140096942580164,0.5055928411633115,0.255,0.04604506492614746,1.5672171115875244,5.249912977218628,0.8482239246368408
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,3,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.26379690949227375,0.5,0.7637969094922737,1.0,0.5098344370860934,1.0,0.415,0.007384061813354492,0.5135369300842285,0.24907588958740234,0.3372199535369873
Cortical Area Development,False,5,3,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,1.0,0.370625,-0.0,0.245,0.007082939147949219,0.216278076171875,0.18836212158203125,0.21251296997070312
Fanconi anemia and checkpoint recovery,False,15,3,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.105,0,0.0,0.12505507469177246,0.8090400695800781,5.0067901611328125e-06,1.0759170055389404
Toll Pathway of Drosophila Signaling Pathway,False,11,3,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.019685249981123292,0.25075225677031093,0.27382146439317956,1.0,0.8014142427281845,-0.0,0.0,0.007866859436035156,0.4790630340576172,0.15927505493164062,0.3763880729675293
