graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
Trichostrongylus retortaeformis,False,26,1,1,0.038461538461538464,5,2.230769230769231,12,4.25,1.5,5.0682837331783235,13,0.10098718894243486,0.015528860240257836,0.29797831819513626,1.0,0.16045268092587175,0.8877820099618532,0.155,0.1195981502532959,20.821069955825806,147.60005283355713,2.8537180423736572
FA BRCA pathway,False,28,1,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.02,0,0.0,0.2717280387878418,1.6187760829925537,1.0967254638671875e-05,3.1383960247039795
Arabidopsis thaliana Cell Cycle,False,14,1,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,1.0,0.105,0,0.0,0.1600179672241211,3.357802152633667,5.0067901611328125e-06,1.3384881019592285
B bronchiseptica and T retortaeformis coinfection,False,53,1,1,0.018867924528301886,8,2.547169811320755,14,1.5,1.5,0.5,2,0.09477031651500342,0.01096311475409836,0.260655737704918,0.9999999999999998,0.04941905737704918,0.9409836310099564,0.12,0.2170579433441162,21.90647602081299,50.56822896003723,7.614269018173218
B cell differentiation,False,22,1,5,0.22727272727272727,7,1.7727272727272727,59,1.0338983050847457,1.0,0.1809674280005307,2,0.011865696736461095,0.020148026315789474,0.0390625,0.9999999999999999,0.05864720394736838,0.037006590928079675,0.02,0.08208799362182617,20.72660994529724,95.79374408721924,1.5547118186950684
Body Segmentation in Drosophila 2013,False,17,1,3,0.17647058823529413,4,1.7058823529411764,10,1.0,1.0,0.0,1,0.048578949180213646,0.11980330800178811,0.14886008046490837,0.9999999999999999,0.18839293696915513,0.12248547161376777,0.01,0.013768911361694336,2.6219429969787598,1.9946281909942627,1.162280797958374
Bordetella bronchiseptica,False,33,1,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.3861253702002594,0.0311304347826087,0.918608695652174,1.0,0.14907478260869558,0.9582608695652173,0.055,0.0489039421081543,3.074665069580078,3.4041569232940674,2.687891960144043
BT474 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,92,1.0,1.0,0.0,1,0.011769602307619096,0.0023148148148148147,0.03780864197530864,1.0,0.03729166666666666,0.3395061728391937,0.13,0.08853793144226074,30.530802011489868,190.41612315177917,0.8639369010925293
Budding Yeast Cell Cycle,False,20,1,4,0.2,6,2.1,32,1.875,1.0,1.8157298807917437,11,0.020697107009704716,0.028922180607573865,0.08489388264669163,1.0,0.14089887640449444,0.3624635871827806,0.115,0.05206894874572754,19.465919971466064,258.48674392700195,1.6148560047149658
Budding Yeast Cell Cycle 2009,False,18,1,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,1.0,0.255,0,0.0,0.05896401405334473,4.0419628620147705,8.106231689453125e-06,1.6690690517425537
Cardiac development,False,15,1,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11467046536051725,0.23284132841328414,0.28044280442804426,0.9999999999999999,0.05237269372693725,0.012546125461255997,0.085,0.05452394485473633,1.772684097290039,5.468959093093872,0.8638789653778076
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,1,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.26870748299319724,0.5,0.7687074829931972,1.0,0.2536394557823127,1.0,0.32,0.009018898010253906,0.8161351680755615,0.2562439441680908,0.3660900592803955
Cortical Area Development,False,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,1.0,0.118125,-0.0,0.085,0.007215976715087891,0.23029017448425293,0.1881730556488037,0.22975707054138184
Fanconi anemia and checkpoint recovery,False,15,1,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.055,0,0.0,0.14924097061157227,0.884497880935669,7.152557373046875e-06,1.168287992477417
Toll Pathway of Drosophila Signaling Pathway,False,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.020145702720865747,0.2487611496531219,0.27750247770069375,0.7403369672943507,0.4208969276511397,-0.0,0.0,0.0076580047607421875,0.5101749897003174,0.16849112510681152,0.39888906478881836
HCC1954 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,88,1.0,1.0,0.0,1,0.01284913181917368,0.00303951367781155,0.044832826747720364,0.9999999999999999,0.04867781155015198,0.3563829787239001,0.15,0.09467315673828125,29.426079988479614,184.03880190849304,0.9116480350494385
Human Gonadal Sex Determination,False,19,1,0,0.0,10,4.157894736842105,3,1.0,1.0,0.0,1,0.23694345802583966,0.4604086845466156,0.5383141762452107,1.0,0.022282886334610473,-0.0,0.005,0.43178510665893555,1.6169309616088867,22.316750049591064,1.6891100406646729
Iron acquisition and oxidative stress response in aspergillus fumigatus,False,22,1,2,0.09090909090909091,6,1.7272727272727273,4,5.5,5.5,3.5,9,0.012204220834562055,0.25631023405231756,0.25837540156034877,1.0,0.32032354290959153,-0.0,0.0,0.03222393989562988,5.8919432163238525,8.695973873138428,1.5866889953613281
Lac Operon,False,13,1,3,0.23076923076923078,4,1.6923076923076923,9,1.0,1.0,0.0,1,0.038903502242102934,0.12446717817561807,0.13810741687979539,0.9999999999999999,0.18051577152600173,-0.0,0.0,0.011676788330078125,1.7467069625854492,1.2677569389343262,0.5903489589691162
Lymphoid and myeloid cell specification and transdifferentiation,False,33,1,2,0.06060606060606061,10,2.8484848484848486,11,1.1818181818181819,1.0,0.38569460791993504,2,0.06724979902467104,0.057955166757791145,0.21842536905412793,0.9999999999999999,0.012773373428102787,0.876161837069434,0.04,0.5243790149688721,9.277288913726807,121.25270700454712,4.0931549072265625
Mammalian Cell Cycle,False,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.005867014341590621,0.5,0.5058670143415906,1.0,0.10764667535853974,-0.0,0.0,0.031007051467895508,0.8159620761871338,1.0369579792022705,1.2327160835266113
Mammalian Cell Cycle 2006,False,10,1,0,0.0,6,3.5,2,4.0,4.0,3.0,7,0.012481644640234935,0.5,0.5124816446402349,1.0,0.1104405286343612,-0.0,0.115,0.035928964614868164,1.8166110515594482,1.2751469612121582,0.5782670974731445
Metabolic Interactions in the Gut Microbiome,False,12,1,1,0.08333333333333333,5,2.5,40,1.0,1.0,0.0,1,0.021141588374641345,0.016842105263157894,0.06526315789473684,1.0,0.09004210526315788,1.000000000000007,0.31,0.031058073043823242,9.198732852935791,17.987333059310913,0.5270991325378418
Neurotransmitter Signaling Pathway,False,16,1,0,0.0,3,1.375,4,2.5,2.5,1.5,4,0.022598272062958193,0.2511520737327189,0.2806451612903226,1.0,0.4832718894009219,1.0000000000000009,0.09,0.007752895355224609,1.598618984222412,0.5613400936126709,0.8738088607788086
Oxidative Stress Pathway,False,19,1,1,0.05263157894736842,4,1.6842105263157894,2,5.0,5.0,4.0,9,0.03157121879588842,0.5,0.5315712187958884,1.0,0.5056534508076362,-0.0,0.0,0.012890100479125977,1.6894640922546387,0.5040881633758545,1.1484498977661133
Predicting Variabilities in Cardiac Gene,False,15,1,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11380611639168435,0.23635693215339232,0.2581120943952802,1.0,0.055110619469026546,0.012536873156340889,0.125,0.054049015045166016,1.8046691417694092,5.499892950057983,0.8827581405639648
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,False,26,1,0,0.0,9,3.1153846153846154,6,1.6666666666666667,2.0,0.4714045207910317,2,0.06538864157160042,0.18318018377946466,0.23931282461046743,1.0,0.04057930483419897,0.6336396324410707,0.09,0.2071211338043213,5.807042121887207,23.386648893356323,2.769199848175049
Regulation of the L-arabinose operon of Escherichia coli,False,13,1,4,0.3076923076923077,3,1.3846153846153846,20,1.5,1.0,1.0723805294763609,4,0.021807902940545312,0.05847723704866562,0.07692307692307693,1.0,0.22099686028257448,0.06985872930001236,0.03,0.013989925384521484,4.600199937820435,2.5544350147247314,0.5075981616973877
T cell differentiation,False,23,1,4,0.17391304347826086,5,1.4782608695652173,33,1.0,1.0,0.0,1,0.009988822241452658,0.03216052776250687,0.049752611324903794,1.0,0.21534771852666312,9.241683187610761e-07,0.015,0.029479026794433594,10.875872135162354,18.984111785888672,2.248258113861084
Senescence Associated Secretory Phenotype,False,51,1,2,0.0392156862745098,5,1.8823529411764706,12,2.6666666666666665,1.0,2.9249881291307074,9,0.07389781186717184,0.07795196318136055,0.22982885085574573,1.0000000000000002,0.1780080540773766,0.1994835011506595,0.035,0.06497001647949219,24.830928087234497,107.62031722068787,9.037023067474365
T-Cell Signaling 2006,False,40,1,3,0.075,5,1.325,10,2.3,1.0,2.051828452868319,6,0.042589428816575944,0.11139712409018285,0.1437954908574472,1.0,0.3087280312444525,1.0301135553447693e-06,0.02,0.03139686584472656,9.98304796218872,50.297428131103516,4.805943012237549
T-LGL Survival Network 2011 Reduced Network,False,18,1,0,0.0,4,2.388888888888889,2,2.5,2.5,1.5,4,0.46237507348618456,0.5,0.9623750734861846,1.0,0.16887125220458554,0.037624926513815105,0.05,0.015930891036987305,1.596144199371338,0.5688149929046631,0.9747028350830078
Tumour Cell Invasion and Migration,False,32,1,2,0.0625,8,4.875,15,1.8,1.0,1.1661903789690602,4,0.0740106542028654,0.03224489795918367,0.23755102040816325,0.9999999999999998,0.0194734693877551,0.07673469387756171,0.105,0.6488511562347412,27.843020915985107,243.49006605148315,5.13508415222168
Processing of Spz Network from the Drosophila Signaling Pathway,False,24,1,6,0.25,5,1.1666666666666667,64,1.0,1.0,0.0,1,0.0038111426391480813,0.015367727771679473,0.02451518477863154,0.955726308086352,0.21508781558726686,5.590402700761388e-06,0.0,0.052622079849243164,18.58179783821106,62.664458990097046,1.5270321369171143
Arabidopsis thaliana Cell Cycle,True,14,1,0,0.0,8,4.714285714285714,3,1.0,1.0,0.0,1,0.4174492259532852,0.05647382920110193,0.9233241505968779,1.0,0.01056473829201102,-0.0,0.04,0.5120689868927002,3.1128451824188232,20.184190034866333,4.986999988555908
Aurora Kinase A in Neuroblastoma,True,23,1,4,0.17391304347826086,7,1.8695652173913044,23,1.2608695652173914,1.0,0.5289358721998453,3,0.025683078223486828,0.056735436893203886,0.07554611650485436,1.0,0.08804763349514566,6.75711113728994e-08,0.015,0.06177377700805664,12.785914182662964,48.96839499473572,2.4376280307769775
B cell differentiation,True,22,1,5,0.22727272727272727,7,1.7727272727272727,41,2.3902439024390243,2.0,1.1235407615883923,6,0.009915529304774316,0.02545743834526651,0.042561654733492445,1.0,0.10270883054892599,0.20684172472098794,0.09,0.14353704452514648,35.44189810752869,250.49877405166626,1.933337926864624
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,10,1.0,1.0,0.0,1,0.035912231791784245,0.11590296495956873,0.13045822102425875,0.9999999999999999,0.19052021563342325,0.267385444743935,0.03,0.016783952713012695,3.305820941925049,2.1108899116516113,1.1983160972595215
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,5,5.8,5.0,1.7204650534085253,9,0.1394722389950942,0.19175805915586575,0.4317048853439681,1.0,0.17501827849783974,0.6234629444998383,0.53,0.0696110725402832,12.359407901763916,132.37042212486267,2.9159929752349854
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,4,1.25,1.0,0.4330127018922193,2,0.011704551750676605,0.2482590529247911,0.266016713091922,1.0,0.052305013927576596,4.440892098500626e-16,0.07,0.0589139461517334,1.6760830879211426,3.8888399600982666,1.0437231063842773
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.175,0,0.0,0.010008096694946289,0.2654259204864502,3.0994415283203125e-06,0.4470789432525635
Cortical Area Development,True,5,1,0,0.0,4,2.8,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.15,0,0.0,0.00882411003112793,0.16286301612854004,5.0067901611328125e-06,0.30921506881713867
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,5,1.4,1.0,0.4898979485566356,2,0.21652896936868515,0.19569471624266144,0.5968688845401174,1.0,0.03599478147423352,0.7958251793868234,0.28,0.15747785568237305,3.3394858837127686,15.885740041732788,1.440929889678955
Toll Pathway of Drosophila Signaling Pathway,True,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.014970285514860682,0.25,0.27111984282907664,0.7288801571709234,0.4247053045186639,8.881784197001252e-16,0.0,0.008394956588745117,0.7771339416503906,0.20821499824523926,0.6296310424804688
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,10,1.0,1.0,0.0,1,0.04948021797910882,0.11995153473344103,0.14539579967689822,1.0,0.16259289176090463,-1.7763568394002505e-15,0.005,0.01341700553894043,2.2564120292663574,1.5644910335540771,0.6860330104827881
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.002699460107978391,0.5,0.5026994601079784,1.0,0.10262147570485906,-0.0,0.0,0.13353586196899414,1.6423180103302002,2.340583086013794,2.5970659255981445
Mammalian Cell Cycle 2006,True,10,1,0,0.0,6,3.5,1,6.0,6.0,0.0,6,0.0,1.0,1.0,1.0,0.205,0,0.0,0.03967595100402832,1.5711290836334229,4.0531158447265625e-06,0.7128200531005859
Metabolic Interactions in the Gut Microbiome,True,12,1,1,0.08333333333333333,5,2.5,20,2.8,2.0,1.6,6,0.03922314559855669,0.0423042304230423,0.1332133213321332,1.0,0.14130963096309623,1.0000000643811688,0.455,0.0333099365234375,13.61394715309143,42.56054902076721,0.7662990093231201
Neurotransmitter Signaling Pathway,True,16,1,0,0.0,3,1.375,5,2.0,2.0,0.0,2,0.1388479574161338,0.13388734995383195,0.4773776546629732,1.0,0.4616297322253001,0.6186518928901208,0.165,0.008737802505493164,2.237553834915161,0.6767761707305908,1.0757508277893066
Oxidative Stress Pathway,True,19,1,1,0.05263157894736842,4,1.6842105263157894,5,2.4,2.0,1.8547236990991407,6,0.18978449813354867,0.1441108545034642,0.45958429561200925,1.0,0.38848960739030003,0.6152424942263259,0.085,0.014781951904296875,3.2494630813598633,1.5809228420257568,1.4231929779052734
Predicting Variabilities in Cardiac Gene,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.004297994269340966,0.5,0.504297994269341,1.0,0.1225644699140401,-0.0,0.0,0.05773115158081055,1.3117032051086426,1.909661054611206,1.0210070610046387
Regulation of the L-arabinose operon of Escherichia coli,True,13,1,4,0.3076923076923077,3,1.3846153846153846,32,2.375,1.0,1.948557158514987,8,0.02387574841241822,0.021208226221079693,0.07519280205655526,0.9948586118251928,0.2920919023136247,0.27956298200501806,0.09,0.02391195297241211,11.594708919525146,13.133447885513306,0.758220911026001
T-Cell Signaling 2006,True,40,1,3,0.075,5,1.325,9,1.1111111111111112,1.0,0.3142696805273545,2,0.03720886822119254,0.12221646815121699,0.1431037459002244,1.0000000000000002,0.28191437942344205,1.744346889154258e-10,0.005,0.028385162353515625,5.989326000213623,5.045130968093872,5.3517889976501465
T-LGL Survival Network 2011 Reduced Network,True,18,1,0,0.0,4,2.388888888888889,2,1.5,1.5,0.5,2,0.4224283305227656,0.5,0.9224283305227656,1.0,0.2268971332209106,1.0,0.045,0.016497135162353516,1.1819801330566406,0.566094160079956,1.4408869743347168
Processing of Spz Network from the Drosophila Signaling Pathway,True,24,1,6,0.25,5,1.1666666666666667,64,1.0,1.0,0.0,1,0.004117983565279748,0.015903307888040712,0.0275657336726039,1.0,0.20971374045801522,1.5061498714885602e-07,0.0,0.09194588661193848,18.63731622695923,75.69888091087341,1.3215160369873047
Trichostrongylus retortaeformis,True,26,1,1,0.038461538461538464,5,2.230769230769231,4,7.25,5.0,4.493050188902857,15,0.20347744897301195,0.2083729781160799,0.5711227402473834,1.0,0.27858349191246423,0.4167459865455889,0.165,0.04068899154663086,14.385780096054077,24.816126108169556,4.880242109298706
B cell differentiation,True,22,1,5,0.22727272727272727,7,1.7727272727272727,35,1.2857142857142858,1.0,0.6577636818983621,3,0.00891007184631235,0.030393835616438356,0.04366438356164384,0.9999999999999999,0.061438356164383555,0.06035958904113414,0.03,0.07626795768737793,16.973999977111816,51.20109009742737,1.6519660949707031
