graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
FA BRCA pathway,False,28,4,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.11,0,0.0,0.5068120956420898,2.9293529987335205,5.9604644775390625e-06,6.598745107650757
Arabidopsis thaliana Cell Cycle,False,14,4,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,1.0,0.41,0,0.0,0.28975987434387207,5.331219911575317,5.0067901611328125e-06,2.7302379608154297
B cell differentiation,False,22,4,5,0.22727272727272727,7,1.7727272727272727,57,1.0350877192982457,1.0,0.18400155231055287,2,0.011768975693624974,0.01985932974762102,0.04095986760446835,1.0,0.22835126189491117,0.47000413736018487,0.155,0.16927003860473633,36.54743695259094,292.7291657924652,3.2471001148223877
Body Segmentation in Drosophila 2013,False,17,4,3,0.17647058823529413,4,1.7058823529411764,9,1.0,1.0,0.0,1,0.034425161348368954,0.11912225705329153,0.14106583072100312,0.9999999999999999,0.5846059113300494,0.12180922525750226,0.035,0.024920940399169922,4.35946798324585,3.5867300033569336,2.5521528720855713
Bordetella bronchiseptica,False,33,4,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.38658022306248185,0.03133656509695291,0.9193213296398892,1.0,0.3729847645429363,0.9556786703601103,0.13,0.08749699592590332,5.451340913772583,6.921487092971802,6.36063289642334
Budding Yeast Cell Cycle 2009,False,18,4,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,1.0,0.66,0,0.0,0.10654592514038086,5.1510090827941895,5.0067901611328125e-06,3.608506917953491
Cardiac development,False,15,4,1,0.06666666666666667,7,2.533333333333333,5,1.0,1.0,0.0,1,0.09950751422413424,0.24186390532544377,0.2692307692307692,1.0,0.19933062130177512,0.25,0.315,0.09704399108886719,2.703326940536499,8.822513818740845,1.7497389316558838
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,4,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.2785234899328859,0.5,0.7785234899328859,1.0,0.6263422818791957,1.0,0.29,0.01623702049255371,0.942425012588501,0.44899892807006836,0.6647639274597168
Cortical Area Development,False,5,4,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,1.0,0.37125,0.875,0.37,0.011497974395751953,0.41766810417175293,0.33171701431274414,0.4219059944152832
Fanconi anemia and checkpoint recovery,False,15,4,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.145,0,0.0,0.2740509510040283,1.5904262065887451,5.9604644775390625e-06,2.3600528240203857
Toll Pathway of Drosophila Signaling Pathway,False,11,4,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.018174656195653022,0.2517106549364614,0.270772238514174,1.0,0.8991642228739002,-0.0,0.0,0.010675191879272461,0.9168238639831543,0.26518702507019043,0.7833728790283203
Human Gonadal Sex Determination,False,19,4,0,0.0,10,4.157894736842105,3,1.0,1.0,0.0,1,0.23880829428180148,0.43979721166032953,0.5576679340937896,0.9999999999999999,0.050069708491761705,0.0025348542458807355,0.085,0.7667911052703857,2.985628843307495,45.715487003326416,3.4507179260253906
