graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_time,stochastic_model_time
FA BRCA pathway,False,28,1,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.21, 0.02, 0.02, 0.03, 0.02, 0.07, 0.06, 0.265, 0.045, 0.03, 0.515, 0.025, 0.11, 0.11, 0.145, 0.09, 0.03, 0.07, 0.205, 0.025, 0.23, 0.0, 0.04, 0.2, 0.5, 0.11, 0.01, 0.11]",1.4082481861114502,43.938117027282715
Arabidopsis thaliana Cell Cycle,False,14,1,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.105, 1.0, 0.145, 0.64, 0.41, 0.025, 0.095, 1.0, 0.435, 0.255, 0.305, 0.065, 0.13, 0.205]",9.041254997253418,40.16608285903931
Body Segmentation in Drosophila 2013,False,17,1,3,0.17647058823529413,4,1.7058823529411764,10,1.0,1.0,0.0,1,0.0448101075103031,0.11807387862796834,0.13368513632365875,"[0.5206684256816183, 0.7440633245382585, 0.7510993843447669, 0.976693051890941, 0.7440633245382585, 0.7440633245382585, 0.7440633245382585, 0.9999999999999999, 0.9999999999999999, 0.45602462620932277, 0.7638522427440633, 0.7445030782761652, 0.7440633245382585, 0.5892700087950747, nan, nan, nan]","[0.1424758135444151, 0.4804749340369392, 0.0679089709762534, 0.24484608619173212, 0.47559366754617405, 0.5073218997361478, 0.12513852242744067, 0.2525109938434474, 0.11507695690413355, 0.2431662269129281, 0.2495954265611255, 0.5146701846965701, 0.4658311345646437, 0.1306882145998241, nan, nan, nan]",0.26836585998535156,36.76147484779358
Bordetella bronchiseptica,False,33,1,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.3900343018592286,0.030060476698683745,0.9252934898612594,"[0.9398790466026326, 0.9573105656350054, 1.0, 0.9573105656350054, 1.0, 1.0, 1.0, 0.9398790466026326, 0.9252934898612594, 1.0, 1.0, 0.9398790466026326, 0.967982924226254, 1.0, 1.0, 1.0, 0.9398790466026326, 0.9573105656350054, 0.9573105656350054, 0.9573105656350054, 0.9573105656350054, 1.0, 0.9573105656350054, 0.9573105656350054, 0.967982924226254, 1.0, 1.0, 0.9573105656350054, 0.9573105656350054, 1.0, 1.0, 1.0, 0.9573105656350054]","[0.0908324439701174, 0.41768409818569885, 0.21716648879402353, 0.022774813233724652, 0.09128068303094987, 0.516558164354321, 0.516558164354321, 0.1308929206688011, 0.14642475987193168, 0.535, 0.47, 0.03457310565635006, 0.27386339381003205, 0.023415154749199578, 0.465, 0.1940554962646745, 0.05098007826396301, 0.23152614727854862, 0.13969583778014943, 0.25021344717182503, 0.12969583778014943, 0.046707577374599796, 0.13225720384204911, 0.10926894343649948, 0.22264674493062966, 0.525, 0.49262540021344586, 0.4862806830309498, 0.12097652081109928, 0.505, 0.5500640341515463, 0.449546424759871, 0.1482017075773746]",0.6206481456756592,98.56584191322327
BT474 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,79,1.0,1.0,0.0,1,0.01253311083630152,0.003933910306845004,0.043273013375295044,"[0.7694728560188827, 0.5090479937057436, 0.5837922895357984, 0.6608969315499608, 0.9669551534225018, 0.6608969315499608, 0.6309992132179385, 0.2635719905586153, 0.6939417781274587, 0.36428009441384734, 0.9905586152635718, nan, nan, nan, nan, nan]","[0.07531864673485444, 0.10707710464201424, 0.014382376081825332, 0.05507474429583009, 0.27916207710464236, 0.02708497246262785, 0.029885916601101487, 0.07153815892997642, 0.058678206136900043, 0.032486231313926035, 0.05985837922895357, nan, nan, nan, nan, nan]",1.873750925064087,291.43544816970825
Budding Yeast Cell Cycle,False,20,1,4,0.2,6,2.1,32,1.875,1.0,1.8157298807917437,11,0.020301762657087424,0.027591973244147156,0.08737458193979933,"[0.5388795986622074, 0.8469899665551839, 0.5811036789297659, 0.5029264214046822, 0.9418896321070235, 0.8469899665551839, 1.0, 0.6910535117056856, 0.5029264214046822, 1.0, 0.7888795986622072, 0.7015050167224081, 0.9523411371237458, 0.4423076923076923, 0.9418896321070234, 0.8469899665551839, nan, nan, nan, nan]","[0.5015551839464882, 0.6148954849498321, 0.24395903010033412, 0.3061266722408021, 0.666659698996656, 0.13607650501672228, 0.24392976588628734, 0.09316680602006694, 0.19499581939799335, 0.49805602006688915, 0.04355560200668895, 0.3949289297658865, 0.3286266722408031, 0.17104724080267553, 0.061335702341137145, 0.34942725752508336, nan, nan, nan, nan]",1.73677396774292,283.40773916244507
Budding Yeast Cell Cycle 2009,False,18,1,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.075, 1.0, 1.0, 0.355, 0.545, 0.615, 0.565, 0.31, 1.0, 1.0, 0.115, 0.35, 1.0, 0.53, 0.425, 0.735, 0.08, 0.365]",0.5868408679962158,55.825331926345825
Cardiac development,False,15,1,1,0.06666666666666667,7,2.533333333333333,5,1.0,1.0,0.0,1,0.09759121387929678,0.2470414201183432,0.2588757396449704,"[0.5059171597633136, 0.5059171597633136, 0.5059171597633136, 0.7477810650887574, 0.5125739644970414, 0.5059171597633136, 0.7529585798816568, 0.49408284023668636, 0.2640532544378698, 0.7596153846153846, 0.5125739644970414, 0.48890532544378695, 0.5059171597633136, 0.7596153846153846, nan]","[0.49988165680473373, 0.5004142011834319, 0.49988165680473373, 0.012548076923076926, 0.10920118343195265, 0.24988165680473373, 0.1321153846153846, 0.03123520710059171, 0.01137943786982249, 0.24967085798816568, 0.5002514792899407, 0.11127958579881655, 0.49970414201183433, 0.24955251479289942, nan]",0.7310209274291992,20.804518938064575
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,1,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.26957494407158833,0.5,0.7695749440715883,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3794519015659957, 0.39908277404921705, 0.5613422818791939, 0.09954138702460852, 0.3432774049217005, 0.4313870246085008, 0.6536912751677846, 0.11684563758389258, 0.6229082774049206]",0.06549310684204102,6.154761075973511
Cortical Area Development,False,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,"[1.0, 0.875, 1.0, 1.0, 1.0]","[0.24, 0.275, 0.09875, 0.08875, 0.108125]",0.021897077560424805,1.0917010307312012
Fanconi anemia and checkpoint recovery,False,15,1,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.005, 0.125, 0.275, 0.135, 0.02, 0.11, 0.24, 0.265, 0.065, 0.29, 0.12, 0.205, 0.075, 0.03, 0.015]",0.48081207275390625,12.694301128387451
Toll Pathway of Drosophila Signaling Pathway,False,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.014601108195166438,0.2457795431976167,0.27209533267130087,"[0.5084409136047666, 0.7279046673286991, 0.27209533267130087, 0.5084409136047666, 0.5084409136047666, 0.5084409136047666, 0.5084409136047666, 0.7279046673286991, 0.7279046673286991, nan, nan]","[0.49974677259185724, 0.481767626613704, 0.24954319761668312, 0.5001688182720954, 0.5005064548162863, 0.5004220456802388, 0.4997467725918569, 0.493162859980139, 0.24547666335650448, nan, nan]",0.03963017463684082,4.468057155609131
HCC1954 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,84,1.0,1.0,0.0,1,0.01302621077688754,0.0026595744680851063,0.044832826747720364,"[0.47948328267477197, 0.9650455927051671, 0.6436170212765957, 0.4756838905775076, 0.5205167173252279, 0.6603343465045594, 0.40349544072948323, 0.9999999999999999, 0.3396656534954407, 0.6603343465045594, 0.6603343465045594, nan, nan, nan, nan, nan]","[0.03478723404255318, 0.19225303951367778, 0.05220364741641337, 0.1159384498480241, 0.025520516717325227, 0.035524316109422485, 0.03211626139817629, 0.32499999999999996, 0.010930851063829789, 0.060885258358662625, 0.06607522796352583, nan, nan, nan, nan, nan]",1.7869579792022705,309.4555621147156
