Bcl6, Blimp1, ERK, Irf4, Pax5, STAT5, STAT6, Bcl6
0, 1, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 0
0, 1, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0
0, 1, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1, 0
1, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 0, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 1
1, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 1, 1, 0, 1
1, 0, 0, 0, 1, 1, 1, 1
1, 0, 0, 1, 0, 0, 0, 0
1, 0, 0, 1, 0, 0, 1, 0
1, 0, 0, 1, 0, 1, 0, 0
1, 0, 0, 1, 0, 1, 1, 0
1, 0, 0, 1, 1, 0, 0, 0
1, 0, 0, 1, 1, 0, 1, 0
1, 0, 0, 1, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 1, 0
1, 0, 1, 0, 0, 1, 0, 0
1, 0, 1, 0, 0, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0, 1, 0
1, 0, 1, 0, 1, 1, 0, 0
1, 0, 1, 0, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 0
1, 0, 1, 1, 0, 1, 0, 0
1, 0, 1, 1, 0, 1, 1, 0
1, 0, 1, 1, 1, 0, 0, 0
1, 0, 1, 1, 1, 0, 1, 0
1, 0, 1, 1, 1, 1, 0, 0
1, 0, 1, 1, 1, 1, 1, 0
1, 1, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 1, 0
1, 1, 0, 0, 0, 1, 0, 0
1, 1, 0, 0, 0, 1, 1, 0
1, 1, 0, 0, 1, 0, 0, 0
1, 1, 0, 0, 1, 0, 1, 0
1, 1, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 1, 1, 1, 0
1, 1, 0, 1, 0, 0, 0, 0
1, 1, 0, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1, 0, 0
1, 1, 0, 1, 0, 1, 1, 0
1, 1, 0, 1, 1, 0, 0, 0
1, 1, 0, 1, 1, 0, 1, 0
1, 1, 0, 1, 1, 1, 0, 0
1, 1, 0, 1, 1, 1, 1, 0
1, 1, 1, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 1, 0
1, 1, 1, 0, 0, 1, 0, 0
1, 1, 1, 0, 0, 1, 1, 0
1, 1, 1, 0, 1, 0, 0, 0
1, 1, 1, 0, 1, 0, 1, 0
1, 1, 1, 0, 1, 1, 0, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 1, 0, 0, 0, 0
1, 1, 1, 1, 0, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 0
1, 1, 1, 1, 0, 1, 1, 0
1, 1, 1, 1, 1, 0, 0, 0
1, 1, 1, 1, 1, 0, 1, 0
1, 1, 1, 1, 1, 1, 0, 0
1, 1, 1, 1, 1, 1, 1, 0
