graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
Trichostrongylus retortaeformis,True,26,1,1,0.038461538461538464,5,2.230769230769231,3,8.0,4.0,5.656854249492381,16,0.09242754464867164,0.3036123853211009,0.4584288990825688,1.0,0.2907740825688075,0.5415711009174373,0.1,0.09289193153381348,10.729343891143799,8.550917148590088,4.26813006401062
Arabidopsis thaliana Cell Cycle,True,14,1,0,0.0,8,4.714285714285714,3,5.666666666666667,7.0,2.6246692913372702,8,0.37439685825951424,0.11428571428571428,0.8603174603174604,1.0,0.09519047619047619,0.11428571428571388,0.21,0.6595139503479004,17.105298042297363,49.02174782752991,6.346005916595459
Aurora Kinase A in Neuroblastoma,True,23,1,4,0.17391304347826086,7,1.8695652173913044,16,1.0,1.0,0.0,1,0.007496896414133543,0.06238779174147217,0.07450628366247755,1.0000000000000002,0.09144524236983843,-0.0,0.0,0.061142921447753906,7.135436058044434,20.952481985092163,2.5889527797698975
B cell differentiation,True,22,1,5,0.22727272727272727,7,1.7727272727272727,41,1.8780487804878048,1.0,1.086393046405858,5,0.012003417088546204,0.028065630397236616,0.042746113989637305,1.0,0.06219991364421421,0.14248728133215138,0.055,0.08972907066345215,28.3103449344635,148.07285690307617,2.2243900299072266
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,27,1.1481481481481481,1.0,0.3552467795046459,2,0.022818206706482266,0.02848575712143928,0.06796601699150424,1.0000000000000002,0.2074337831084457,0.8865567216392023,0.17,0.02621293067932129,9.510426998138428,8.371985912322998,1.6018400192260742
BT474 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,50,1.28,1.0,0.448998886412873,2,0.010121363927096654,0.019656897784131523,0.03788420300214439,1.0000000000000002,0.03374910650464619,0.2637598284490039,0.07,0.08060288429260254,24.168673992156982,62.32754898071289,1.109699010848999
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.01026392961876832,0.5,0.5102639296187683,1.0,0.07744868035190616,-0.0,0.0,0.06135988235473633,1.3399090766906738,1.945603847503662,0.9916257858276367
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.15,0,0.0,0.01055908203125,0.22222399711608887,1.9073486328125e-06,0.47212910652160645
Cholesterol Regulatory Pathway,True,34,1,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.022595940139279902,0.5,0.5225959401392799,1.0,0.515,1.0,0.04,0.015070915222167969,1.8830888271331787,0.40056490898132324,6.8410539627075195
Cortical Area Development,True,5,1,0,0.0,4,2.8,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.2,0,0.0,0.008203983306884766,0.2859680652618408,8.106231689453125e-06,0.30379486083984375
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,2,7.0,7.0,3.0,10,0.17242442936458977,0.5,0.6724244293645898,1.0,0.13388032078963602,1.0000000000000009,0.36,0.1650698184967041,6.105393886566162,8.719935894012451,2.2562918663024902
Toll Pathway of Drosophila Signaling Pathway,True,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.020044434061253093,0.250996015936255,0.27091633466135456,1.0,0.4081274900398407,4.440892098500626e-16,0.0,0.006385087966918945,0.7039530277252197,0.19217896461486816,0.5747349262237549
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,12,6.333333333333333,8.0,3.8586123009300755,10,0.027758322825273622,0.07447665056360708,0.13446054750402575,1.0,0.28614331723027353,0.5217391304347672,0.135,0.028450965881347656,12.961342811584473,3.9296319484710693,1.1197359561920166
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.00602409638554216,0.5,0.5060240963855421,1.0,0.09240963855421688,-0.0,0.0,0.039647817611694336,0.9975569248199463,1.1413788795471191,1.8455331325531006
Mammalian Cell Cycle 2006,True,10,1,0,0.0,6,3.5,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.1,0,0.0,0.041085004806518555,0.6211321353912354,3.0994415283203125e-06,0.7937510013580322
Neurotransmitter Signaling Pathway,True,16,1,0,0.0,3,1.375,4,2.5,2.5,1.5,4,0.022727145430002548,0.242512077294686,0.28695652173913044,1.0,0.4819251207729471,1.0,0.135,0.01055598258972168,1.9995598793029785,0.6170401573181152,1.1669139862060547
Oxidative Stress Pathway,True,19,1,1,0.05263157894736842,4,1.6842105263157894,4,1.25,1.0,0.4330127018922193,2,0.18737809841294778,0.24198396793587174,0.5060120240480962,1.0,0.2270090180360722,0.49398797595190347,0.05,0.017094850540161133,1.8977398872375488,0.8318381309509277,1.8398871421813965
Predicting Variabilities in Cardiac Gene,True,15,1,1,0.06666666666666667,7,2.533333333333333,4,1.0,1.0,0.0,1,0.012010449204202292,0.2525389302640487,0.2640487474610697,1.0,0.038351387948544334,-4.440892098500626e-16,0.07,0.06320691108703613,1.6222178936004639,4.590756893157959,1.291576862335205
Regulation of the L-arabinose operon of Escherichia coli,True,13,1,4,0.3076923076923077,3,1.3846153846153846,31,2.4193548387096775,1.0,1.9637717748676675,8,0.02408551689490453,0.023224950232249502,0.0683477106834771,1.0,0.27045786330457877,0.26476443264762395,0.115,0.025517940521240234,11.911478996276855,9.652421951293945,1.0708789825439453
