CYCD3;1, E2Fb, E2Fc, KRP1, MYB3R1/4, MYB77, RBR, CDKB1;1
1, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 1, 0
1, 0, 1, 0, 0, 1, 0, 1
1, 0, 1, 0, 0, 1, 1, 1
1, 0, 1, 0, 1, 0, 0, 1
1, 0, 1, 0, 1, 0, 1, 1
1, 0, 1, 0, 1, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 1
1, 0, 1, 1, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 0
1, 0, 1, 1, 0, 1, 0, 1
1, 0, 1, 1, 0, 1, 1, 1
1, 0, 1, 1, 1, 0, 0, 1
1, 0, 1, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 1, 0, 1
1, 0, 1, 1, 1, 1, 1, 1
1, 1, 0, 0, 0, 0, 0, 1
1, 1, 0, 0, 0, 0, 1, 1
1, 1, 0, 0, 0, 1, 0, 1
1, 1, 0, 0, 0, 1, 1, 1
1, 1, 0, 0, 1, 0, 0, 1
1, 1, 0, 0, 1, 0, 1, 1
1, 1, 0, 0, 1, 1, 0, 1
1, 1, 0, 0, 1, 1, 1, 1
1, 1, 0, 1, 0, 0, 0, 1
1, 1, 0, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1, 0, 1
1, 1, 0, 1, 0, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 1
1, 1, 0, 1, 1, 0, 1, 1
1, 1, 0, 1, 1, 1, 0, 1
1, 1, 0, 1, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 1, 0
1, 1, 1, 0, 0, 1, 0, 1
1, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 0, 1, 0, 1, 1
1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 0, 1, 1, 1, 1
1, 1, 1, 1, 0, 0, 0, 0
1, 1, 1, 1, 0, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 1
