graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_time,stochastic_model_time
Trichostrongylus retortaeformis,True,26,1,1,0.038461538461538464,5,2.230769230769231,2,1.0,1.0,0.0,1,0.04569497502203937,0.5,0.5456949750220393,"[0.5456949750220393, 1.0, 1.0, 1.0, 0.5456949750220393, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5456949750220393, 1.0, 1.0, 0.5456949750220393, 1.0, nan]","[0.1463444019982368, 0.44, 0.28, 0.135, 0.09227152512488977, 0.095, 0.02, 0.45, 0.05954305024977961, 0.27181457537466946, 0.13, 0.225, 0.24, 0.465, 0.505, 0.45, 0.2554569497502203, 0.26, 0.11, 0.15, 0.023629150749338818, 0.44, 0.435, 0.19591389950044083, 0.54, nan]",0.2366929054260254,30.19658899307251
Arabidopsis thaliana Cell Cycle,True,14,1,0,0.0,8,4.714285714285714,3,7.0,2.0,7.788880963698615,18,0.46195082823379174,0.009555661729574774,0.9866220735785953,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2073530817009077, 0.9909412326803628, 0.2124199713330147, 0.7468967988533213, 0.6324605828953667, 0.05923554706163401, 0.2171524128045866, 0.9923745819397987, 0.6077663640707128, 0.375547061634018, 0.5633205924510285, 0.10366220735785948, 0.31137840420449087, 0.35569995222169143]",6.1124279499053955,221.64225506782532
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,12,1.75,2.0,0.4330127018922193,2,0.04144834123256307,0.08193810248604769,0.1582952815829528,"[0.8797564687975646, 0.9999999999999999, 0.32166412988330795, 1.0, 0.7595129375951294, 0.7595129375951294, 0.5205479452054794, 0.7595129375951293, 0.5205479452054794, 0.5205479452054794, 0.7453069507864027, 0.856418061897514, 0.7595129375951294, 0.4794520547945205, nan, nan, nan]","[0.189170471841705, 0.48499999999999993, 0.07194063926940647, 0.3923287671232875, 0.47145357686453593, 0.5077853881278538, 0.20276255707762583, 0.23721461187214612, 0.11563926940639271, 0.378165905631659, 0.24914764079147664, 0.4893074581430746, 0.4844292237442921, 0.20874429223744306, nan, nan, nan]",0.45072507858276367,83.9490098953247
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,1,3.0,3.0,0.0,3,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04, 0.27, 1.0, 0.145, 0.135, 0.14, 0.255, 0.125, 1.0, 1.0, 0.025, 0.07, 0.41, 0.16, 0.105, 0.26, 0.04, 0.105]",0.3272068500518799,22.531380891799927
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,3.0,3.0,1.0,4,0.00536193029490617,0.5,0.5053619302949062,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5053619302949062, 1.0, 0.5053619302949062, 1.0, 1.0, 1.0, nan]","[1.0, 1.0, 1.0, 0.08548257372654158, 0.24994638069705086, 0.485, 0.24473190348525475, 0.049892761394101884, 0.01741957104557641, 0.500107238605898, 0.4999999999999997, 0.36370643431635363, 1.0, 0.4997319034852547, nan]",0.870542049407959,21.292529821395874
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,2,2.0,2.0,1.0,3,0.18934240362811794,0.5,0.6893424036281179,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34577097505668947, 0.36334467120181413, 0.6587755102040815, 0.10674603174603177, 0.3126643990929706, 0.29921768707483004, 0.6691156462585035, 0.0948526077097506, 0.6312018140589571]",0.05201601982116699,6.429272890090942
Cholesterol Regulatory Pathway,True,34,1,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.08256970169623709,0.5,0.5825697016962371,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5825697016962371, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5825697016962371, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5825697016962371, 1.0]","[0.475, 0.45, 0.42, 0.55, 0.53, 0.275, 0.495, 1.0, 0.49, 0.515, 0.52, 0.51, 0.27165139403392474, 0.485, 0.535, 0.48, 0.505, 0.545, 0.535, 1.0, 0.28, 0.24956424254240592, 1.0, 0.51, 1.0, 0.465, 0.45, 0.455, 0.51, 0.54, 0.195, 0.535, 0.5090826671865862, 0.46]",0.317547082901001,58.90717101097107
Cortical Area Development,True,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,"[1.0, 0.875, 1.0, 0.875, 0.875]","[0.29375, 0.3025, 0.160625, 0.088125, 0.1225]",0.022096872329711914,1.561345100402832
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,4,1.25,1.0,0.4330127018922193,2,0.16753391395503353,0.25115359261700726,0.48055372445616346,"[1.0, 1.0, 1.0, 0.5023071852340145, 0.7982860909690177, 1.0, 0.7982860909690177, 0.9828609096901779, 0.9828609096901779, 1.0, 0.48055372445616346, 1.0, 1.0, 1.0, 0.6994067237969677]","[0.0039914304548450885, 0.05248846407382993, 0.11, 0.11641397495056033, 0.012982860909690176, 0.08404416611733684, 0.25199077125906394, 0.18352669742913655, 0.04014831905075808, 0.2500856954515491, 0.08797626895187871, 0.145, 0.035, 0.015, 0.008497033618984838]",0.7861678600311279,34.35881805419922
Toll Pathway of Drosophila Signaling Pathway,True,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.014183707621977517,0.24873096446700507,0.26903553299492383,"[0.5086294416243655, 0.7421319796954314, 0.26903553299492383, 0.5086294416243655, 0.5086294416243655, 0.5086294416243655, 0.5086294416243655, 0.7421319796954314, 0.7421319796954315, nan, nan]","[0.49991370558375636, 0.485472081218274, 0.2512639593908633, 0.5, 0.5005177664974618, 0.4998274111675127, 0.5010355329949238, 0.49515736040609165, 0.2624213197969544, nan, nan]",0.040364980697631836,5.968548059463501
