graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_time,stochastic_model_time
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,18,2.888888888888889,1.0,3.5101264442069584,12,0.04063885081904252,0.06505657093124456,0.12358572671888599,"[0.7798085291557876, 0.8881636205395995, 0.48955613577023493, 0.9725848563968669, 0.7645778938207135, 0.7645778938207135, 0.38076588337684947, 0.7645778938207135, 0.7645778938207137, 0.5013054830287206, 0.27067014795474326, 0.860313315926893, 0.7645778938207135, 0.47127937336814624, nan, nan, nan]","[0.15307006092254125, 0.46894691035683195, 0.13241731940818097, 0.32606179286336057, 0.5423324630113143, 0.5343951261966928, 0.18311792863359447, 0.25564186248912096, 0.16685378590078329, 0.34923411662315135, 0.2504677980852911, 0.5943320278503041, 0.48941688424717134, 0.26080287206266317, nan, nan, nan]",0.9115560054779053,154.5129518508911
Bordetella bronchiseptica,True,33,1,0,0.0,6,2.393939393939394,4,3.5,3.0,2.29128784747792,7,0.2715969260196191,0.17315068493150687,0.6526027397260274,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9989041095890412, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13514246575342462, 0.49, 0.24, 0.1292109589041096, 0.06, 0.9989041095890387, 0.515, 0.11516438356164378, 0.13012054794520544, 0.495, 0.998904109589039, 0.03727671232876713, 0.29518082191780814, 0.12000273972602743, 0.9989479452054769, 0.23, 0.06507123287671232, 0.8383917808219159, 0.4564328767123284, 0.255, 0.43251506849315047, 0.13839726027397264, 0.47415342465753413, 0.26473698630136994, 0.49437534246575326, 0.9988602739726001, 0.5, 0.525, 0.23978082191780828, 0.505, 0.9988931506849293, 0.9989917808219155, 0.3894054794520548]",1.3812520503997803,230.21077418327332
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,3,3.0,2.0,1.4142135623730951,5,0.018536090387538763,0.3452566096423017,0.3475894245723173,"[1.0, 1.0, 0.6524105754276828, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6524105754276828, 0.6524105754276828, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04521384136858475, 0.28689735614307943, 0.4954276827371695, 0.12104199066874025, 0.40669129082426175, 0.27540046656298606, 0.1660692068429238, 0.16692457231726276, 0.4786625194401248, 0.5076205287713842, 0.03847589424572318, 0.13737947122861585, 0.47, 0.08368973561430793, 0.115, 0.33299377916018685, 0.05042768273716952, 0.1286625194401244]",0.600189208984375,58.68204712867737
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,4,1.25,1.0,0.4330127018922193,2,0.0171587850169481,0.25579761068165846,0.2670414617006325,"[0.5115952213633169, 0.5115952213633169, 0.5115952213633169, 0.7442023893183415, 0.5228390723822909, 1.0, 0.7442023893183415, 0.4884047786366831, 0.4884047786366831, 0.7786366830639493, 0.5228390723822909, 0.7442023893183415, 0.5115952213633169, 0.7786366830639493, nan]","[0.500579761068166, 0.499420238931834, 0.5002319044272662, 0.01639494026704146, 0.11931482782853121, 0.24755797610681654, 0.09057976106816587, 0.027442023893183416, 0.0076739283204497535, 0.2509100491918486, 0.49908643710470846, 0.17685874912157412, 0.5, 0.250920590302179, nan]",0.7151379585266113,20.008782863616943
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.235, 0.31, 0.46, 0.045, 0.215, 0.24, 0.56, 0.035, 0.5]",0.03306293487548828,1.7183210849761963
Cholesterol Regulatory Pathway,True,34,1,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.13081053868098672,0.5,0.6308105386809867,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6308105386809867, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6308105386809867, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6308105386809867, 1.0]","[0.5, 0.465, 0.52, 0.495, 0.495, 0.285, 0.48, 1.0, 0.525, 0.535, 0.475, 0.455, 0.25707836885383445, 0.475, 0.515, 0.27, 0.515, 0.455, 0.465, 0.505, 0.245, 0.2336918946131901, 0.52, 0.455, 0.495, 0.2436918946131902, 0.52, 0.51, 0.52, 0.505, 0.265, 0.485, 0.4843027353582813, 0.485]",0.2948570251464844,51.877296924591064
Cortical Area Development,True,5,1,0,0.0,4,2.8,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.53, 0.475, 0.235, 0.08, 0.26]",0.017879009246826172,1.0599710941314697
Death Receptor Signaling,True,28,1,3,0.10714285714285714,4,1.6071428571428572,13,2.076923076923077,1.0,1.6853001769389728,7,0.030711677250803558,0.06600585717503943,0.14530299617030862,"[0.90831268303672, 1.0, 1.0, 1.0, 0.90831268303672, 1.0, 1.0, 1.0, 0.90831268303672, 0.90831268303672, 0.90831268303672, 1.0, 0.7837350754674476, 1.0, 0.2646992565893219, 1.0, 0.2613201171435008, 0.510925884208155, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.38296913719306147, nan, nan, nan]","[0.3566152286551032, 0.4949876098220312, 0.2931358414057219, 0.4901779680108125, 0.5073575129533697, 0.34314034692498324, 0.4066129758954715, 0.6659270105879717, 0.37680671322369963, 0.6353457986032898, 0.14871930615003356, 0.3246023879252084, 0.09865284974093257, 0.64131110610498, 0.25117481414733034, 0.2059427799053841, 0.2508661860779456, 0.5004370353683264, 0.6483442216715488, 0.1874949312908313, 0.4805586843883749, 0.6694435683712558, 0.415281594953818, 0.5142261770669067, 0.15599571975670198, nan, nan, nan]",1.3461799621582031,228.04461097717285
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,3,4.0,4.0,1.632993161855452,6,0.354731477468183,0.12515723270440252,0.8327044025157233,"[1.0, 0.9578616352201258, 0.9578616352201258, 1.0, 0.9578616352201258, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9578616352201258, 1.0, 1.0, 1.0, 1.0]","[0.03455974842767296, 0.13830188679245292, 0.393883647798742, 0.22325786163522018, 0.020625786163522015, 0.2272232704402516, 0.7319559748427674, 0.45046855345911974, 0.10517924528301888, 0.51, 0.2501540880503146, 0.3855628930817608, 0.07311006289308178, 0.06916352201257864, 0.022081761006289308]",1.1223070621490479,67.15817523002625
Toll Pathway of Drosophila Signaling Pathway,True,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.009146830790894943,0.24616956077630234,0.26557711950970375,"[0.5117466802860061, 0.7344228804902962, 0.7538304392236976, 0.5117466802860061, 0.5117466802860061, 0.5117466802860061, 0.5117466802860061, 0.7344228804902962, 0.7344228804902961, nan, nan]","[0.49917773237997937, 0.507032686414709, 0.2498876404494376, 0.4989427987742595, 0.5002349336057204, 0.4995301327885595, 0.49976506639427964, 0.49062308478038824, 0.2707048008171605, nan, nan]",0.03957700729370117,5.941082954406738
