1	M1_nuc
2	NA_LipidRafts
3	pro_vRNP_NP_M1_nuc
4	vRNA_M_M1
5	pro_vRNP_NS_M1_nuc
6	mRNA_PA_cyto
7	mRNA_M2_nuc
8	Progeny_Virion
9	pro_vRNP_PB2_M1_nuc
10	par_vRNP_PA_cyto
11	vRNA_PA
12	NP_cyto
13	cRNP_PB1
14	par_vRNP_NA_cyto
15	vRNA_NA_M1
16	vRNA_PA_M1
17	temp_vRNP_HA_nuc
18	cRNP_NP
19	vRNA_PB2_M1
20	PA_cyto
21	PIP2
22	M1_M1
23	temp_vRNP_NP_nuc
24	pro_vRNP_HA_M1_nuc
25	vRNA_PB1_M1
26	NS2_cyto
27	cRNP_M
28	cRNP_HA
29	HA_LipidRafts
30	mRNA_NA_cyto
31	par_vRNP_PB2_cyto
32	mRNA_PA_nuc
33	IVA_LE
34	NA_cyto
35	par_vRNP_HA_cyto
36	PB1_PA_nuc
37	NS1_cyto
38	PB1_PA_cyto
39	mRNA_M1_nuc
40	par_vRNP_NP_cyto
41	vRNA_NP
42	PB2_nuc
43	MEK
44	cRNP_PA
45	PKC
46	pro_vRNP_PA_M1_nuc
47	pro_vRNP_PB2_M1_cyto
48	pro_vRNP_PB1_M1_nuc
49	temp_vRNP_PB1_nuc
50	mRNA_HA_cyto
51	mRNA_NS1_nuc
52	vRNA_NP_M1
53	IVA_HA1_HA2
54	M1_cyto
55	pro_vRNP_NA_M1_nuc
56	cRNA_PB1
57	pro_vRNP_M_M1_nuc
58	IVA_SialicAcid
59	mRNA_PB1_cyto
60	NP_nuc
61	mRNA_NP_cyto
62	IVA_SialicAcid_CCP
63	M2_cyto
64	par_vRNP_M_cyto
65	ERK
66	mRNA_M2_cyto
67	IVA_ME
68	pro_vRNP_NS_M1_cyto
69	vRNA_NS
70	cRNA_NS
71	pro_vRNP_NA_M1_cyto
72	vRNA_PB2
73	Raf
74	PB2_cyto
75	cRNA_HA
76	cRNA_M
77	pro_vRNP_PB1_M1_cyto
78	temp_vRNP_NS_nuc
79	HA_cyto
80	vRNA_M
81	mRNA_PB2_cyto
82	PI3K
83	PB1_cyto
84	mRNA_NP_nuc
85	vRNA_HA
86	temp_vRNP_NA_nuc
87	vRNA_PB1
88	vRNA_NA
89	NS2_CellularFactor
90	cRNA_NP
91	par_vRNP_PB1_cyto
92	par_vRNP_NS_cyto
93	mRNA_PB2_nuc
94	PIP3
95	cRNA_NA
96	IVA_EE
97	cRNA_PA
98	cRNA_PB2
99	temp_vRNP_PA_nuc
100	cRNP_NS
101	RTK
102	mRNA_M1_cyto
103	temp_vRNP_PB2_nuc
104	vRNA_NS_M1
105	Infected
106	mRNA_NS1_cyto
107	pro_vRNP_NP_M1_cyto
108	mRNA_NS2_nuc
109	cRNP_PB2
110	pro_vRNP_HA_M1_cyto
111	mRNA_NA_nuc
112	vRNA_HA_M1
113	mRNA_PB1_nuc
114	mRNA_NS2_cyto
115	temp_vRNP_M_nuc
116	cRNP_NA
117	IVA_SialicAcid_CCV
118	pro_vRNP_M_M1_cyto
119	mRNA_HA_nuc
120	pro_vRNP_PA_M1_cyto
1000001	Bisindolylmaleimide_I
1000002	PB1_Inhibitor
1000003	Methyl_Beta_Cyclodextrin
1000004	Viral_Dose
1000005	HA_SialicAcid_Affinity
1000006	U0126
1000007	RTK_Inhibitor
1000008	Wortmannin
1000009	PB1_PA_Interface_Inhibitor
1000010	Neuraminidase_inhibitor
1000011	M2_inhibitor
